Date,Task,Estimated Time (hours)
2024-04-12,Webpage Design,0.6
2024-04-12,Housework,1.4
2024-04-12,Study Programming,1.5
2024-04-13,Reading,2.4
2024-04-13,Study Programming,3.3
2024-04-13,Housework,1.8
2024-04-13,Study Blender,1.1
2024-04-13,Study History,2.2
2024-04-13,weightlifting,3.4
2024-04-14,Yoga,2.1
2024-04-14,Study Programming,3.1
2024-04-15,Yoga,3.4
2024-04-15,Reading,1.0
2024-04-15,Webpage Design,1.9
2024-04-15,Study Programming,3.2
2024-04-16,Study Blender,1.8
2024-04-16,Study Programming,2.8
2024-04-16,Study History,3.8
2024-04-16,Housework,2.9
2024-04-16,Reading,1.1
2024-04-17,weightlifting,1.9
2024-04-17,Study History,3.9
2024-04-17,Yoga,1.8
2024-04-17,Study Blender,2.9
2024-04-18,Study History,1.5
2024-04-18,Reading,3.5
2024-04-18,Webpage Design,0.5
2024-04-19,Housework,3.4
2024-04-19,Reading,1.4
2024-04-20,weightlifting,2.3
2024-04-20,Webpage Design,2.3
2024-04-20,Reading,1.8
2024-04-20,Housework,1.5
2024-04-20,Study Blender,2.2
2024-04-20,Yoga,1.8
2024-04-21,Study Blender,1.3
2024-04-21,Study Programming,2.7
2024-04-22,Housework,3.0
2024-04-22,weightlifting,2.3
2024-04-22,Yoga,0.7
2024-04-22,Reading,0.8
2024-04-23,Reading,2.9
2024-04-23,Study History,2.7
2024-04-23,weightlifting,2.5
2024-04-24,Study Blender,2.8
2024-04-24,Study Programming,1.0
2024-04-24,Study History,1.7
2024-04-24,weightlifting,0.8
2024-04-24,Housework,3.4
2024-04-25,Housework,1.6
2024-04-25,Webpage Design,2.5
2024-04-25,Yoga,2.2
2024-04-25,Study Blender,3.1
2024-04-26,Yoga,3.7
2024-04-26,Webpage Design,3.8
2024-04-26,Study History,1.8
2024-04-26,Study Blender,3.6
2024-04-26,Reading,2.9
2024-04-26,Housework,2.4
2024-04-27,Study Programming,3.7
2024-04-27,Study History,3.8
2024-04-28,weightlifting,2.6
2024-04-28,Reading,3.9
2024-04-28,Yoga,3.4
2024-04-29,Housework,1.9
2024-04-29,Study History,2.3
2024-04-29,Reading,2.8
2024-04-29,Webpage Design,1.8
2024-04-29,Yoga,1.4
2024-04-29,Study Programming,1.0
2024-04-30,Yoga,2.2
2024-04-30,Study Programming,0.6
2024-04-30,weightlifting,2.2
2024-04-30,Reading,3.0
2024-04-30,Study History,3.9
2024-04-30,Housework,3.9
2024-05-01,Reading,1.5
2024-05-01,Study Blender,2.6
2024-05-01,weightlifting,1.4
2024-05-01,Study Programming,0.5
2024-05-01,Study History,2.0
2024-05-01,Yoga,2.6
2024-05-02,Yoga,2.6
2024-05-02,Study Programming,2.4
2024-05-02,Housework,2.4
2024-05-02,Study History,3.4
2024-05-03,Study Blender,1.1
2024-05-03,Reading,3.5
2024-05-03,Study Programming,2.6
2024-05-03,weightlifting,2.8
2024-05-04,Reading,0.7
2024-05-04,Study Blender,2.8
2024-05-04,Yoga,3.5
2024-05-05,Study History,1.3
2024-05-05,weightlifting,3.5
2024-05-05,Yoga,3.4
2024-05-05,Study Blender,1.4
2024-05-05,Housework,1.3
2024-05-05,Study Programming,3.9
2024-05-06,Study History,2.8
2024-05-06,weightlifting,2.4
2024-05-07,Yoga,1.4
2024-05-07,Housework,2.0
2024-05-07,weightlifting,0.9
2024-05-07,Study History,1.6
2024-05-07,Study Programming,1.0
2024-05-07,Study Blender,1.4
2024-05-08,Webpage Design,0.9
2024-05-08,Housework,0.9
2024-05-08,Study Programming,1.8
2024-05-08,Study Blender,2.6
2024-05-08,Study History,2.4
2024-05-08,Reading,2.3
2024-05-09,Study Programming,2.8
2024-05-09,Webpage Design,2.6
2024-05-10,Study History,2.1
2024-05-10,Webpage Design,1.7
2024-05-10,Study Blender,3.9
2024-05-10,Study Programming,2.6
2024-05-11,Yoga,2.6
2024-05-11,Study History,2.8
2024-05-12,Study History,0.8
2024-05-12,Study Blender,3.0
2024-05-12,Yoga,3.7
2024-05-12,weightlifting,0.7
2024-05-13,Housework,2.2
2024-05-13,Webpage Design,1.0
2024-05-13,Reading,2.9
2024-05-13,Yoga,1.4
2024-05-13,weightlifting,0.5
2024-05-13,Study Blender,2.4
2024-05-14,Housework,3.9
2024-05-14,Study Blender,3.0
2024-05-14,Reading,2.2
2024-05-15,weightlifting,0.8
2024-05-15,Study Programming,3.8
2024-05-15,Study Blender,1.6
2024-05-15,Study History,2.5
2024-05-16,Study History,0.6
2024-05-16,Reading,1.5
2024-05-16,Study Blender,1.2
2024-05-16,weightlifting,1.9
2024-05-16,Yoga,1.4
2024-05-16,Webpage Design,2.2
2024-05-17,Reading,1.0
2024-05-17,Webpage Design,0.7
2024-05-18,Webpage Design,3.6
2024-05-18,Study Programming,2.2
2024-05-19,weightlifting,2.3
2024-05-19,Reading,2.8
2024-05-19,Yoga,2.1
2024-05-19,Study Blender,0.8
2024-05-19,Webpage Design,0.7
2024-05-20,Housework,2.9
2024-05-20,Study Programming,2.4
2024-05-21,weightlifting,0.8
2024-05-21,Study Programming,2.7
2024-05-21,Study Blender,2.9
2024-05-21,Yoga,3.8
2024-05-22,Reading,1.4
2024-05-22,weightlifting,3.4
2024-05-23,weightlifting,1.2
2024-05-23,Yoga,2.0
2024-05-24,Study Programming,3.6
2024-05-24,Webpage Design,0.9
2024-05-25,Reading,2.0
2024-05-25,Yoga,2.1
2024-05-25,Housework,3.8
2024-05-25,Study History,0.7
2024-05-26,Study Blender,3.6
2024-05-26,Study History,3.3
2024-05-26,Study Programming,1.7
2024-05-26,Reading,2.1
2024-05-26,Housework,1.8
2024-05-26,Yoga,1.1
2024-05-27,Study Programming,3.7
2024-05-27,Study Blender,0.6
2024-05-27,weightlifting,1.6
2024-05-27,Yoga,0.7
2024-05-27,Housework,3.2
2024-05-28,Housework,0.7
2024-05-28,Webpage Design,3.6
2024-05-28,weightlifting,2.9
2024-05-28,Study Programming,0.7
2024-05-29,Webpage Design,1.2
2024-05-29,Reading,0.5
2024-05-30,Study Programming,1.8
2024-05-30,weightlifting,0.8
2024-05-30,Yoga,1.7
2024-05-30,Study Blender,1.4
2024-05-30,Reading,1.7
2024-05-31,Study Blender,1.1
2024-05-31,Study Programming,2.5
2024-05-31,Reading,3.7
2024-05-31,Yoga,3.3
2024-05-31,Study History,3.5
2024-06-01,Webpage Design,3.9
2024-06-01,Housework,3.1
2024-06-01,Study Blender,0.8
2024-06-01,Reading,1.5
2024-06-02,Study History,3.9
2024-06-02,Study Programming,2.7
2024-06-02,weightlifting,2.8
2024-06-03,Reading,3.0
2024-06-03,Webpage Design,2.1
2024-06-03,weightlifting,3.5
2024-06-04,Study History,2.5
2024-06-04,Study Programming,2.6
2024-06-04,Housework,3.0
2024-06-04,weightlifting,3.2
2024-06-05,Study Programming,3.1
2024-06-05,Study Blender,2.4
2024-06-05,Housework,2.6
2024-06-05,Yoga,1.0
2024-06-05,Study History,3.2
2024-06-06,Study History,1.1
2024-06-06,Yoga,1.8
2024-06-06,Study Programming,2.4
2024-06-07,Reading,0.6
2024-06-07,weightlifting,1.8
2024-06-07,Study Blender,1.9
2024-06-07,Webpage Design,3.3
2024-06-07,Yoga,3.7
2024-06-08,weightlifting,1.5
2024-06-08,Yoga,2.3
2024-06-09,Reading,1.1
2024-06-09,Yoga,3.0
2024-06-10,Reading,1.0
2024-06-10,Study History,3.2
2024-06-11,Yoga,1.2
2024-06-11,Webpage Design,0.6
2024-06-11,Study Blender,2.5
2024-06-12,Yoga,1.3
2024-06-12,Study History,3.7
2024-06-12,Reading,2.9
2024-06-12,Study Blender,1.2
2024-06-13,Reading,3.6
2024-06-13,weightlifting,3.9
2024-06-13,Study Blender,3.5
2024-06-13,Webpage Design,2.2
2024-06-13,Yoga,3.1
2024-06-13,Study Programming,0.6
2024-06-14,Study History,0.7
2024-06-14,Study Blender,3.9
2024-06-14,Housework,3.4
2024-06-14,Yoga,1.7
2024-06-14,weightlifting,1.3
2024-06-14,Study Programming,3.3
2024-06-15,Study History,3.6
2024-06-15,weightlifting,1.8
2024-06-16,weightlifting,0.6
2024-06-16,Yoga,0.7
2024-06-16,Housework,2.1
2024-06-16,Reading,3.0
2024-06-17,Study History,1.3
2024-06-17,Reading,3.4
2024-06-17,Webpage Design,2.7
2024-06-18,Study Programming,0.8
2024-06-18,weightlifting,1.2
2024-06-18,Yoga,3.0
2024-06-18,Reading,0.6
2024-06-18,Housework,3.5
2024-06-18,Study Blender,2.2
2024-06-19,Housework,3.0
2024-06-19,Webpage Design,1.9
2024-06-19,Reading,3.2
2024-06-20,Study Blender,2.6
2024-06-20,Housework,0.7
2024-06-20,Webpage Design,1.5
2024-06-21,Study Programming,0.6
2024-06-21,Study Blender,1.6
2024-06-21,Study History,2.6
2024-06-21,weightlifting,2.6
2024-06-22,Study Programming,1.5
2024-06-22,Reading,3.3
2024-06-22,weightlifting,2.1
2024-06-22,Webpage Design,1.5
2024-06-22,Study Blender,3.4
2024-06-23,weightlifting,3.6
2024-06-23,Study Programming,1.1
2024-06-23,Yoga,3.6
2024-06-23,Reading,2.0
2024-06-23,Study Blender,1.1
2024-06-23,Study History,2.4
2024-06-24,Study History,1.3
2024-06-24,Webpage Design,0.9
2024-06-24,Housework,1.4
2024-06-24,Study Blender,2.0
2024-06-24,Reading,2.1
2024-06-25,weightlifting,1.2
2024-06-25,Study History,2.6
2024-06-25,Reading,1.6
2024-06-25,Study Blender,2.0
2024-06-26,weightlifting,1.3
2024-06-26,Study History,3.1
2024-06-26,Webpage Design,2.0
2024-06-26,Study Blender,3.3
2024-06-26,Reading,2.6
2024-06-26,Housework,0.8
2024-06-27,Reading,1.8
2024-06-27,Study Programming,2.7
2024-06-27,Study Blender,2.3
2024-06-28,Study History,0.9
2024-06-28,Webpage Design,3.6
2024-06-29,Study History,3.4
2024-06-29,Housework,0.8
2024-06-29,Yoga,2.3
2024-06-29,weightlifting,1.9
2024-06-29,Reading,0.7
2024-06-29,Study Programming,2.1
2024-06-30,Webpage Design,2.3
2024-06-30,Yoga,1.2
2024-06-30,Study Programming,3.1
2024-06-30,Study Blender,4.0
2024-07-01,Webpage Design,3.5
2024-07-01,Reading,3.6
2024-07-01,Yoga,1.9
2024-07-02,Study Programming,0.9
2024-07-02,weightlifting,1.6
2024-07-03,Webpage Design,0.9
2024-07-03,Study Blender,2.0
2024-07-03,Study History,1.4
2024-07-03,weightlifting,2.9
2024-07-03,Reading,1.8
2024-07-04,Yoga,0.7
2024-07-04,weightlifting,2.6
2024-07-04,Study Programming,3.1
2024-07-04,Study History,1.5
2024-07-04,Study Blender,2.5
2024-07-05,Housework,1.4
2024-07-05,Study Blender,2.8
2024-07-06,Webpage Design,0.9
2024-07-06,weightlifting,3.7
2024-07-06,Study Programming,2.2
2024-07-07,Webpage Design,3.1
2024-07-07,Study Programming,1.2
2024-07-07,Study History,3.0
2024-07-07,weightlifting,3.0
2024-07-08,Reading,3.8
2024-07-08,Study History,3.1
2024-07-09,Study Programming,2.0
2024-07-09,Study Blender,2.4
2024-07-09,Study History,3.4
2024-07-09,weightlifting,2.6
2024-07-09,Reading,3.4
2024-07-09,Yoga,2.6
2024-07-10,Reading,3.2
2024-07-10,Study Blender,3.4
2024-07-10,Study Programming,0.8
2024-07-10,Housework,1.3
2024-07-10,Webpage Design,0.8
2024-07-11,Webpage Design,3.9
2024-07-11,Yoga,1.1
2024-07-11,weightlifting,1.8
2024-07-12,Webpage Design,1.4
2024-07-12,weightlifting,1.8
2024-07-12,Yoga,1.5
2024-07-12,Housework,3.6
2024-07-12,Study Programming,0.9
2024-07-13,Webpage Design,2.6
2024-07-13,Study Blender,3.6
2024-07-13,Study History,1.4
2024-07-13,Housework,3.3
2024-07-13,Yoga,1.3
2024-07-13,weightlifting,2.9
2024-07-14,Study History,3.8
2024-07-14,Webpage Design,2.1
2024-07-14,Reading,1.0
2024-07-15,Study Programming,0.8
2024-07-15,Reading,2.7
2024-07-16,Study Programming,3.5
2024-07-16,Yoga,3.0
2024-07-16,Reading,3.5
2024-07-16,Housework,3.3
2024-07-16,Study History,1.0
2024-07-16,weightlifting,2.9
2024-07-17,Yoga,2.6
2024-07-17,weightlifting,1.1
2024-07-17,Study Blender,1.4
2024-07-17,Reading,3.4
2024-07-17,Study Programming,2.7
2024-07-17,Webpage Design,2.2
2024-07-18,Webpage Design,3.9
2024-07-18,Reading,1.1
2024-07-18,Housework,1.1
2024-07-18,Study History,3.1
2024-07-19,Reading,2.2
2024-07-19,Webpage Design,3.7
2024-07-20,Study History,1.6
2024-07-20,Yoga,1.7
2024-07-20,weightlifting,3.4
2024-07-20,Study Programming,3.3
2024-07-20,Reading,1.7
2024-07-21,Yoga,0.7
2024-07-21,Study Blender,4.0
2024-07-21,Reading,2.6
2024-07-21,Housework,0.7
2024-07-21,weightlifting,0.6
2024-07-21,Webpage Design,2.0
2024-07-22,Reading,1.2
2024-07-22,Study History,3.5
2024-07-22,Housework,3.5
2024-07-22,Webpage Design,2.5
2024-07-23,Study History,3.8
2024-07-23,Webpage Design,0.8
2024-07-23,Reading,3.2
2024-07-23,Housework,3.5
2024-07-24,Study Blender,3.5
2024-07-24,Study History,3.5
2024-07-24,Yoga,3.0
2024-07-24,Reading,0.9
2024-07-24,weightlifting,3.2
2024-07-25,Housework,2.2
2024-07-25,Study History,3.6
2024-07-25,Webpage Design,1.6
2024-07-26,Study History,2.0
2024-07-26,Study Programming,0.8
2024-07-26,Study Blender,1.6
2024-07-27,Housework,0.6
2024-07-27,Webpage Design,2.3
2024-07-28,Webpage Design,0.7
2024-07-28,Reading,0.7
2024-07-28,Yoga,2.5
2024-07-29,Study History,3.1
2024-07-29,Study Programming,1.6
2024-07-29,weightlifting,1.9
2024-07-29,Webpage Design,1.9
2024-07-30,Webpage Design,1.1
2024-07-30,Study Programming,2.5
2024-07-30,Reading,4.0
2024-07-30,Study History,2.7
2024-07-30,Yoga,0.9
2024-07-30,weightlifting,3.9
2024-07-31,Study Blender,3.8
2024-07-31,weightlifting,1.0
2024-07-31,Reading,3.9
2024-08-01,Housework,1.0
2024-08-01,Reading,3.7
2024-08-01,Study History,3.5
2024-08-02,Yoga,1.6
2024-08-02,weightlifting,2.8
2024-08-02,Reading,1.2
2024-08-03,Study Programming,3.3
2024-08-03,Study History,0.6
2024-08-03,Study Blender,3.0
2024-08-03,weightlifting,1.4
2024-08-03,Yoga,1.3
2024-08-03,Reading,2.4
2024-08-04,weightlifting,3.1
2024-08-04,Study Programming,2.6
2024-08-04,Housework,3.6
2024-08-05,Housework,0.6
2024-08-05,Study Blender,2.1
2024-08-05,Study History,2.9
2024-08-06,Webpage Design,1.0
2024-08-06,Study Programming,3.1
2024-08-06,Yoga,2.5
2024-08-07,Yoga,1.0
2024-08-07,Reading,1.7
2024-08-08,Study Programming,2.4
2024-08-08,Reading,0.9
2024-08-08,Study History,2.9
2024-08-08,Yoga,0.7
2024-08-08,Webpage Design,3.6
2024-08-08,Housework,3.5
2024-08-09,Study Blender,1.2
2024-08-09,Study History,2.8
2024-08-09,Study Programming,1.7
2024-08-09,Webpage Design,1.1
2024-08-09,Reading,3.3
2024-08-09,Housework,1.8
2024-08-10,Study Programming,3.3
2024-08-10,weightlifting,2.5
2024-08-10,Study Blender,3.7
2024-08-10,Reading,1.7
2024-08-10,Webpage Design,2.7
2024-08-11,Webpage Design,1.1
2024-08-11,Study History,3.2
2024-08-11,Study Programming,3.1
2024-08-11,Yoga,1.1
2024-08-11,Housework,1.8
2024-08-12,weightlifting,3.7
2024-08-12,Reading,2.6
2024-08-12,Study Blender,3.7
2024-08-13,Study Blender,3.6
2024-08-13,Housework,2.0
2024-08-14,Study History,2.5
2024-08-14,Housework,1.3
2024-08-14,Study Blender,2.0
2024-08-14,Study Programming,3.9
2024-08-14,weightlifting,0.6
2024-08-14,Webpage Design,2.0
2024-08-15,Webpage Design,3.4
2024-08-15,Reading,2.7
2024-08-15,Study Blender,2.9
2024-08-16,Yoga,3.7
2024-08-16,Reading,3.3
2024-08-17,Study Blender,1.7
2024-08-17,weightlifting,2.3
2024-08-17,Study History,3.2
2024-08-17,Yoga,1.4
2024-08-18,Study Programming,3.2
2024-08-18,Reading,1.9
2024-08-18,Housework,2.6
2024-08-18,Yoga,1.2
2024-08-19,Study History,0.9
2024-08-19,weightlifting,0.5
2024-08-19,Webpage Design,0.8
2024-08-19,Study Blender,3.1
2024-08-19,Housework,3.9
2024-08-19,Reading,2.9
2024-08-20,Webpage Design,2.5
2024-08-20,Housework,2.8
2024-08-20,weightlifting,2.7
2024-08-20,Reading,1.5
2024-08-20,Yoga,2.3
2024-08-21,Yoga,1.3
2024-08-21,Reading,2.7
2024-08-21,Study Blender,0.8
2024-08-21,Study Programming,3.3
2024-08-21,Study History,3.7
2024-08-22,Housework,0.9
2024-08-22,Study Blender,2.4
2024-08-22,Study Programming,1.9
2024-08-23,Housework,3.8
2024-08-23,Study Programming,1.7
2024-08-23,Yoga,2.9
2024-08-23,Webpage Design,1.1
2024-08-23,Reading,0.6
2024-08-24,Study History,0.6
2024-08-24,Study Programming,1.0
2024-08-24,Webpage Design,1.3
2024-08-25,weightlifting,2.6
2024-08-25,Yoga,2.9
2024-08-26,Housework,2.9
2024-08-26,Reading,1.5
2024-08-26,Yoga,1.7
2024-08-26,Study Programming,2.2
2024-08-27,Yoga,3.2
2024-08-27,Study Programming,0.9
2024-08-27,Reading,3.6
2024-08-27,Study Blender,1.6
2024-08-28,Study Programming,0.6
2024-08-28,Study Blender,1.3
2024-08-28,Yoga,2.7
2024-08-28,Study History,1.0
2024-08-29,Housework,3.9
2024-08-29,Study Programming,1.4
2024-08-29,Study Blender,3.4
2024-08-29,Study History,3.8
2024-08-29,Yoga,2.5
2024-08-30,weightlifting,3.3
2024-08-30,Study Programming,2.7
2024-08-31,Yoga,3.3
2024-08-31,Housework,0.9
2024-09-01,Reading,2.7
2024-09-01,Study Programming,0.9
2024-09-02,Study Programming,2.5
2024-09-02,weightlifting,3.6
2024-09-02,Webpage Design,3.4
2024-09-02,Housework,1.6
2024-09-02,Yoga,3.6
2024-09-03,Housework,0.8
2024-09-03,Study Blender,3.0
2024-09-04,Study Programming,3.7
2024-09-04,Housework,2.4
2024-09-04,Reading,2.8
2024-09-04,weightlifting,3.3
2024-09-05,Study Programming,3.6
2024-09-05,Study Blender,2.3
2024-09-05,Yoga,0.8
2024-09-06,Study Programming,2.1
2024-09-06,Webpage Design,1.5
2024-09-07,Study Programming,2.0
2024-09-07,Yoga,1.2
2024-09-07,Study Blender,2.5
2024-09-07,weightlifting,3.8
2024-09-08,Study History,2.9
2024-09-08,Yoga,3.1
2024-09-09,Reading,0.7
2024-09-09,Study Programming,2.1
2024-09-09,Study Blender,2.2
2024-09-09,weightlifting,3.9
2024-09-10,Webpage Design,1.2
2024-09-10,Study Blender,2.2
2024-09-10,Study Programming,2.7
2024-09-10,Yoga,2.7
2024-09-10,weightlifting,3.5
2024-09-10,Housework,1.7
2024-09-11,Study Programming,3.9
2024-09-11,Webpage Design,1.5
2024-09-11,weightlifting,0.7
2024-09-12,Housework,1.6
2024-09-12,Study Blender,2.6
2024-09-13,Yoga,2.0
2024-09-13,Study Blender,1.2
2024-09-13,weightlifting,1.4
2024-09-14,Yoga,3.1
2024-09-14,Housework,2.0
2024-09-14,Reading,3.5
2024-09-15,Study Programming,0.9
2024-09-15,Reading,3.6
2024-09-15,Study History,2.7
2024-09-16,weightlifting,0.7
2024-09-16,Housework,2.1
2024-09-16,Study Programming,2.2
2024-09-17,Webpage Design,2.1
2024-09-17,Study History,1.5
2024-09-18,Reading,1.7
2024-09-18,Study Blender,1.2
2024-09-18,Housework,1.4
2024-09-18,Study Programming,2.1
2024-09-18,Yoga,3.9
2024-09-18,Webpage Design,2.5
2024-09-19,Reading,3.3
2024-09-19,weightlifting,1.1
2024-09-19,Yoga,1.8
2024-09-19,Webpage Design,2.0
2024-09-19,Study Programming,1.4
2024-09-20,Reading,1.1
2024-09-20,Study History,2.1
2024-09-20,Webpage Design,3.1
2024-09-21,Study History,1.5
2024-09-21,Webpage Design,0.6
2024-09-22,Housework,1.7
2024-09-22,Reading,2.1
2024-09-22,Study Programming,3.0
2024-09-23,Reading,1.4
2024-09-23,Housework,3.4
2024-09-23,Study Programming,2.2
2024-09-23,weightlifting,1.8
2024-09-23,Study Blender,2.2
2024-09-23,Study History,3.2
2024-09-24,Reading,1.2
2024-09-24,Yoga,0.9
2024-09-24,Study Blender,2.4
2024-09-24,Study Programming,3.1
2024-09-24,Housework,3.6
2024-09-25,Webpage Design,3.6
2024-09-25,Yoga,3.7
2024-09-26,Yoga,2.0
2024-09-26,Reading,0.7
2024-09-26,Study History,3.6
2024-09-26,Study Blender,1.5
2024-09-26,Webpage Design,1.5
2024-09-27,Housework,0.6
2024-09-27,weightlifting,3.0
2024-09-27,Study History,0.7
2024-09-28,Study Blender,0.8
2024-09-28,weightlifting,1.3
2024-09-28,Webpage Design,4.0
2024-09-28,Housework,2.9
2024-09-28,Study Programming,0.7
2024-09-29,Study Blender,0.7
2024-09-29,Study History,0.7
2024-09-29,Reading,0.5
2024-09-29,weightlifting,3.1
2024-09-29,Yoga,3.6
2024-09-30,Study Blender,2.5
2024-09-30,Yoga,2.1
2024-09-30,weightlifting,3.7
2024-09-30,Reading,2.9
2024-09-30,Webpage Design,3.7
2024-09-30,Housework,0.9
2024-10-01,Reading,2.8
2024-10-01,Yoga,1.3
2024-10-01,Study History,3.1
2024-10-01,Webpage Design,3.4
2024-10-01,Study Programming,3.2
2024-10-02,Webpage Design,1.7
2024-10-02,Study History,2.3
2024-10-02,Study Blender,1.4
2024-10-02,weightlifting,1.9
2024-10-03,Reading,2.3
2024-10-03,Webpage Design,0.9
2024-10-03,Yoga,2.5
2024-10-03,Study History,2.8
2024-10-03,weightlifting,0.6
2024-10-04,Housework,2.1
2024-10-04,weightlifting,0.9
2024-10-05,Yoga,0.5
2024-10-05,Study History,3.1
2024-10-05,weightlifting,1.0
2024-10-06,Yoga,4.0
2024-10-06,Study Programming,0.6
2024-10-06,Reading,0.9
2024-10-07,Yoga,2.9
2024-10-07,Study Programming,3.9
2024-10-07,Study Blender,1.7
2024-10-08,Study Blender,2.8
2024-10-08,weightlifting,3.2
2024-10-08,Study History,3.4
2024-10-08,Reading,1.5
2024-10-09,Study Blender,1.4
2024-10-09,weightlifting,1.1
2024-10-09,Study Programming,1.7
2024-10-09,Reading,3.2
2024-10-09,Yoga,3.7
2024-10-09,Webpage Design,2.3
2024-10-10,Reading,0.8
2024-10-10,weightlifting,0.7
2024-10-10,Study History,3.8
2024-10-10,Study Programming,1.4
2024-10-11,Yoga,3.0
2024-10-11,weightlifting,3.2
2024-10-11,Reading,3.8
2024-10-11,Study Blender,0.7
2024-10-12,weightlifting,2.8
2024-10-12,Study Blender,1.4
2024-10-12,Study Programming,1.4
2024-10-12,Study History,0.9
2024-10-12,Reading,0.8
2024-10-13,Study History,1.9
2024-10-13,weightlifting,2.0
2024-10-13,Yoga,2.6
2024-10-14,Yoga,1.4
2024-10-14,weightlifting,2.6
